color,G_ROCK_TYP,description,wikipedia_url,image_url
18,blueschist,"Blueschist ( /ˈbluːʃɪst/), also called glaucophane schist, is a metavolcanic rock[1] that forms by the metamorphism of basalt and rocks with similar composition at high pressures and low temperatures (200 to ~500 degrees Celsius), approximately corresponding to a depth of 15 to 30 kilometers. The blue color of the rock comes from the presence of the predominant minerals glaucophane and lawsonite.

Blueschists are typically found within orogenic belts as terranes of lithology in faulted contact with greenschist or rarely eclogite facies rocks.",https://en.wikipedia.org/wiki/Blueschist,https://upload.wikimedia.org/wikipedia/commons/a/a0/Schistes_bleus.jpg
19,coarse grained sediments,"Sediment is a naturally occurring material that is broken down by processes of weathering and erosion, and is subsequently transported by the action of wind, water, or ice or by the force of gravity acting on the particles. For example, sand and silt can be carried in suspension in river water and on reaching the sea bed deposited by sedimentation. If buried, they may eventually become sandstone and siltstone (sedimentary rocks) through lithification.",https://en.wikipedia.org/wiki/Sediment,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Sediment_off_the_Yucatan_Peninsula.jpg/1280px-Sediment_off_the_Yucatan_Peninsula.jpg
20,ultramafic composition lithologies,"Ultramafic rocks (also referred to as ultrabasic rocks, although the terms are not wholly equivalent) are igneous and meta-igneous rocks with a very low silica content (less than 45%), generally >18% MgO, high FeO, low potassium, and are composed of usually greater than 90% mafic minerals (dark colored, high magnesium and iron content). The Earth's mantle is composed of ultramafic rocks. Ultrabasic is a more inclusive term that includes igneous rocks with low silica content that may not be extremely enriched in Fe and Mg, such as carbonatites and ultrapotassic igneous rocks.",https://en.wikipedia.org/wiki/Ultramafic_rock,https://upload.wikimedia.org/wikipedia/commons/0/04/Iddingsite.JPG
21,mudstone,"Mudstone, a type of mudrock, is a fine-grained sedimentary rock whose original constituents were clays or muds. Mudstone is distinguished from shale by its lack of fissility (parallel layering).[1][2]

The term mudstone is also used to describe carbonate rocks (limestone or dolomite) that are composed predominantly of carbonate mud.[3] However, in most contexts, the term refers to siliciclastic mudstone, composed mostly of silicate minerals.[2]",https://en.wikipedia.org/wiki/Mudstone,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/East_Beach_1_2006.JPG/1280px-East_Beach_1_2006.JPG
22,conglomerate,"Conglomerate (/kənˈɡlɒmərɪt/) is a clastic sedimentary rock that is composed of a substantial fraction of rounded to subangular gravel-size clasts. A conglomerate typically contain a matrix of finer grained sediments, such as sand, silt, or clay, which fills the interstices between the clasts. The clasts and matrix are typically cemented by calcium carbonate, iron oxide, silica, or hardened clay.

Conglomerates form by the consolidation and lithification of gravel. They can be found in sedimentary rock sequences of all ages but probably make up less than 1 percent by weight of all sedimentary rocks. In terms of origin and depositional mechanisms, they are closely related to sandstones and exhibit many of the same types of sedimentary structures, e.g., tabular and trough cross-bedding and graded bedding.[1][2][3]",https://en.wikipedia.org/wiki/Conglomerate_(geology),https://upload.wikimedia.org/wikipedia/commons/a/a5/Conglomerate_Death_Valley_NP.jpg
23,siltstone,"Siltstone is a sedimentary rock that has a grain size in the silt range, finer than sandstone and coarser than claystones. It is differentiated from shale by having majority silt, not clay.[1]",https://en.wikipedia.org/wiki/Siltstone,https://upload.wikimedia.org/wikipedia/commons/4/42/SiltstoneUSGOV.jpg
27,tuffaceous sedimentary rocks,"Tuff (from the Italian tufo), also known as volcanic tuff, is a type of rock made of volcanic ash ejected from a vent during a volcanic eruption. Following ejection and deposition, the ash is compacted into a solid rock in a process called consolidation. Rock that contains greater than 50% tuff is considered tuffaceous.

Tuff is a relatively soft rock, so it has been used for construction since ancient times. Because it is common in Italy, the Romans used it often for construction. The Rapa Nui people used it to make most of the moai statues in Easter Island. Tuff is sometimes erroneously called ""tufa"", particularly when used as construction material, but geologically tufa is a limestone precipitated from groundwater.

Tuff can be classified as either sedimentary or igneous rock. It is usually studied in the context of igneous petrology, although it is sometimes described using sedimentological terms.",https://en.wikipedia.org/wiki/Tuff,https://upload.wikimedia.org/wikipedia/commons/9/91/Tufo_Necropoli_della_Banditaccia.JPG
34,marble,"Marble is a metamorphic rock composed of recrystallized carbonate minerals, most commonly calcite or dolomite. Marble is typically not foliated, although there are exceptions. In geology, the term marble refers to metamorphosed limestone, but its use in stonemasonry more broadly encompasses unmetamorphosed limestone.[1] Marble is commonly used for sculpture and as a building material.",https://en.wikipedia.org/wiki/Marble,https://upload.wikimedia.org/wikipedia/commons/0/05/Marmo_z17.JPG
37,intermediate composition lithologies,"In igneous petrology an intermediate composition refers to the chemical composition of a rock that has 52-63 wt% SiO2 being an intermediate between felsic and mafic compositions. Typical intermediate rocks include andesite, dacite and trachyandesite among volcanic rocks and diorite and granodiorite among plutonic rocks.",https://en.wikipedia.org/wiki/Intermediate_composition,https://upload.wikimedia.org/wikipedia/commons/d/db/Granodiorite_fine-grained.jpg
44,schist,"Schist (pronounced /ʃɪst/ SHIST) is a medium-grade metamorphic rock formed from mudstone or shale.[1] Schist has medium to large, flat, sheet-like grains in a preferred orientation (nearby grains are roughly parallel). It is defined by having more than 50% platy and elongated minerals (such as micas or talc),[2] often finely interleaved with quartz and feldspar.[3] These lamellar (flat, planar) minerals include micas, chlorite, talc, hornblende, graphite, and others. Quartz often occurs in drawn-out grains to such an extent that a particular form called quartz schist is produced. Schist is often garnetiferous. Schist forms at a higher temperature and has larger grains than phyllite.[4] Geological foliation (metamorphic arrangement in layers) with medium to large grained flakes in a preferred sheetlike orientation is called schistosity.[4]

The names of various schists are derived from their mineral constituents. For example, schists primarily composed of biotite and muscovite are called mica schists.[1][5] Most schists are mica schists, but graphite and chlorite schists are also common. Schists are also named for their prominent or perhaps unusual mineral constituents, as in the case of garnet schist, tourmaline schist, and glaucophane schist.

The individual mineral grains in schist, drawn out into flaky scales by heat and pressure, can be seen with the naked eye. Schist is characteristically foliated, meaning that the individual mineral grains split off easily into flakes or slabs. The word schist is derived ultimately from the Greek word σχίζειν (schízein) meaning ""to split"",[6] which is a reference to the ease with which schists can be split along the plane in which the platy minerals lie.

Most schists are derived from clays and muds that have passed through a series of metamorphic processes involving the production of shales, slates and phyllites as intermediate steps. Certain schists are derived from fine-grained igneous rocks such as basalts and tuffs.",https://en.wikipedia.org/wiki/Schist,https://upload.wikimedia.org/wikipedia/commons/9/9b/NY-Central-Park-Rock-7333.jpg
47,amphibolite,"Amphibolite ( /æmˈfɪbəlaɪt/) is a metamorphic rock that contains amphibole, especially hornblende and actinolite, as well as plagioclase.

Amphibolite is a grouping of rocks composed mainly of amphibole and plagioclase feldspar, with little or no quartz. It is typically dark-colored and dense, with a weakly foliated or schistose (flaky) structure. The small flakes of black and white in the rock often give it a salt-and-pepper appearance.

Amphibolite need not be derived from metamorphosed mafic rocks. Because metamorphism creates minerals entirely based upon the chemistry of the protolith, certain 'dirty marls' and volcanic sediments may actually metamorphose to an amphibolite assemblage. Deposits containing dolomite and siderite also readily yield amphibolite (tremolite-schist, grunerite-schist, and others) especially where there has been a certain amount of contact metamorphism by adjacent granitic masses. Metamorphosed basalt creates ortho-amphibolite and other chemically appropriate lithologies create para-amphibolite.

Tremolite, while it is a metamorphic amphibole, is derived most usually from highly metamorphosed ultramafic rocks, and thus tremolite-talc schist is not generally considered as 'amphibolite'. A holocrystalline plutonic igneous rock composed primarily of hornblende amphibole is called a hornblendite, which is usually a crystal cumulate rock. Igneous rocks with >90% amphiboles, which have a feldspar groundmass, may be a lamprophyre.",https://en.wikipedia.org/wiki/Amphibolite,https://upload.wikimedia.org/wikipedia/commons/d/d4/Amphibolit.jpg
50,gneiss,Gneiss (/ˈnaɪs/) is a common and widely distributed type of metamorphic rock. Gneiss is formed by high temperature and high-pressure metamorphic processes acting on formations composed of igneous or sedimentary rocks. Orthogneiss is gneiss derived from igneous rock (such as granite). Paragneiss is gneiss derived from sedimentary rock (such as sandstone). Gneiss forms at higher temperatures and pressures than schist. Gneiss nearly always shows a banded texture characterized by alternating darker and lighter colored bands and without a distinct foliation.,https://en.wikipedia.org/wiki/Gneiss,https://upload.wikimedia.org/wikipedia/commons/6/60/Gneiss.jpg
51,hornfels,"Hornfels is the group name for a set of contact metamorphic rocks that have been baked and hardened by the heat of intrusive igneous masses and have been rendered massive, hard, splintery, and in some cases exceedingly tough and durable. These properties are due to fine grained non-aligned crystals with platy or prismatic habits, characteristic of metamorphism at high temperature but without accompanying deformation.[1][2][3] The term is derived from the German word Hornfels, meaning ""hornstone"", because of its exceptional toughness and texture both reminiscent of animal horns. These rocks were referred to by miners in northern England as whetstones.[4][5]

Most hornfels are fine-grained, and while the original rocks (such as sandstone, shale, slate and limestone) may have been more or less fissile owing to the presence of bedding or cleavage planes, this structure is effaced or rendered inoperative in the hornfels. Though many hornfels show vestiges of the original bedding,[1] they break across this as readily as along it; in fact, they tend to separate into cubical fragments rather than into thin plates. Sheet minerals may be abundant but are aligned at random.[6]",https://en.wikipedia.org/wiki/Hornfels,https://upload.wikimedia.org/wikipedia/commons/7/71/Hornfels.jpg
52,metamorphic rocks,"Metamorphic rocks arise from the transformation of existing rock types, in a process called metamorphism, which means ""change in form"".[1] The original rock (protolith) is subjected to heat (temperatures greater than 150 to 200 °C) and pressure (100 megapascals (1,000 bar) or more), causing profound physical or chemical change. The protolith may be a sedimentary, igneous, or existing metamorphic rock.

Metamorphic rocks make up a large part of the Earth's crust and form 12% of the Earth's land surface.[2] They are classified by texture and by chemical and mineral assemblage (metamorphic facies). They may be formed simply by being deep beneath the Earth's surface, subjected to high temperatures and the great pressure of the rock layers above it. They can form from tectonic processes such as continental collisions, which cause horizontal pressure, friction and distortion. They are also formed when rock is heated by the intrusion of hot molten rock called magma from the Earth's interior. The study of metamorphic rocks (now exposed at the Earth's surface following erosion and uplift) provides information about the temperatures and pressures that occur at great depths within the Earth's crust. Some examples of metamorphic rocks are gneiss, slate, marble, schist, and quartzite.",https://en.wikipedia.org/wiki/Metamorphic_rock,https://upload.wikimedia.org/wikipedia/commons/6/6a/Migma_ss_2006.jpg
